city,platform,zone_risk,weekly_hours,past_claims,weather_risk,aqi_risk,tenure_months,trust_score,risk_label
Mumbai,Zomato,High,50,3,5,2,42,0.73,Medium
Delhi,Zomato,High,43,1,8,1,17,0.66,Medium
Bengaluru,Swiggy,High,56,0,3,2,6,0.8,Medium
Hyderabad,Zomato,High,57,1,9,1,54,0.63,Medium
Hyderabad,Zomato,High,63,6,8,10,57,0.54,High
Bengaluru,Swiggy,Medium,74,5,1,9,37,0.94,Medium
Hyderabad,Swiggy,Low,68,3,3,3,14,0.89,Low
Delhi,Swiggy,Medium,63,3,4,3,54,0.76,Medium
Bengaluru,Swiggy,Low,55,3,9,6,55,0.57,Medium
Pune,Swiggy,High,59,4,9,7,8,0.65,High
Delhi,Swiggy,High,56,6,2,5,56,0.72,Medium
Bengaluru,Zomato,Low,61,3,10,10,31,0.42,Medium
Bengaluru,Zomato,Low,58,5,7,1,26,0.93,Medium
Bengaluru,Swiggy,Low,50,2,6,1,22,0.89,Low
Bengaluru,Zomato,Low,51,6,2,4,9,0.58,Low
Pune,Zomato,Low,46,4,2,4,29,0.53,Low
Pune,Zomato,High,75,2,1,9,51,0.5,Medium
Bengaluru,Zomato,Low,74,4,10,1,12,0.52,Medium
Delhi,Swiggy,Low,49,0,6,4,18,0.62,Low
Pune,Zomato,Medium,27,5,1,4,24,0.69,Low
Pune,Swiggy,High,50,4,9,6,23,0.5,High
Bengaluru,Swiggy,Low,44,0,3,10,50,0.98,Low
Delhi,Swiggy,Medium,37,5,7,9,2,0.92,High
Mumbai,Zomato,High,61,1,10,1,15,0.55,Medium
Bengaluru,Zomato,Medium,44,6,6,8,17,0.53,Medium
Bengaluru,Zomato,Medium,20,4,6,9,42,0.76,Medium
Bengaluru,Zomato,Medium,50,0,6,5,41,0.6,Low
Bengaluru,Zomato,Medium,80,5,5,4,10,0.71,Medium
Delhi,Swiggy,High,71,6,10,7,43,0.59,High
Delhi,Swiggy,Medium,38,2,7,7,25,0.84,Medium
Hyderabad,Swiggy,Medium,65,1,9,8,59,0.96,Medium
Bengaluru,Zomato,High,73,5,9,3,19,0.46,High
Delhi,Zomato,High,55,6,3,6,42,0.45,High
Bengaluru,Swiggy,High,39,3,6,6,17,0.75,Medium
Pune,Swiggy,Medium,75,5,10,10,40,0.44,High
Delhi,Swiggy,High,44,4,5,7,4,0.92,High
Delhi,Swiggy,High,41,3,10,8,10,0.59,High
Delhi,Swiggy,Medium,60,1,6,1,1,0.67,Medium
Delhi,Swiggy,Medium,30,3,2,3,40,0.66,Low
Pune,Zomato,Medium,50,3,1,1,35,0.52,Low
Bengaluru,Swiggy,High,68,6,9,4,2,0.81,High
Delhi,Swiggy,Medium,42,2,3,2,25,0.7,Low
Bengaluru,Swiggy,Low,22,2,5,8,47,0.71,Low
Hyderabad,Zomato,Medium,63,1,6,8,23,0.85,Medium
Delhi,Zomato,Low,34,5,3,4,47,0.41,Low
Hyderabad,Swiggy,Low,65,5,1,7,57,0.78,Medium
Hyderabad,Swiggy,Medium,23,5,2,1,4,0.81,Low
Pune,Zomato,Medium,55,2,8,3,14,0.82,Medium
Mumbai,Zomato,Medium,26,5,9,5,40,0.76,Medium
Delhi,Zomato,High,26,4,10,2,19,0.47,Medium
Mumbai,Zomato,Low,32,6,5,9,13,0.61,Medium
Pune,Zomato,Low,55,3,4,8,22,0.54,Medium
Mumbai,Swiggy,High,73,4,8,3,6,0.87,High
Mumbai,Swiggy,High,61,1,8,5,17,0.68,Medium
Mumbai,Swiggy,High,74,2,6,6,28,0.84,Medium
Mumbai,Swiggy,Low,28,5,3,6,23,0.94,Low
Hyderabad,Zomato,High,25,2,6,3,8,0.64,Low
Pune,Zomato,High,64,6,8,7,42,0.93,High
Delhi,Swiggy,Low,66,0,3,2,27,0.95,Low
Pune,Zomato,Low,44,6,6,10,2,0.92,Medium
Delhi,Zomato,High,27,3,8,1,5,0.56,Medium
Bengaluru,Swiggy,High,63,4,10,10,15,0.99,High
Bengaluru,Swiggy,Medium,66,1,8,6,43,0.81,Medium
Pune,Swiggy,High,55,4,1,1,42,0.96,Medium
Hyderabad,Zomato,High,75,1,2,8,21,0.54,Medium
Bengaluru,Swiggy,Medium,55,5,7,7,53,0.54,Medium
Pune,Zomato,High,48,0,8,8,21,0.47,Medium
Pune,Swiggy,Low,46,0,9,9,1,0.9,Medium
Hyderabad,Zomato,High,55,1,8,6,24,0.9,Medium
Delhi,Zomato,Medium,69,4,10,8,46,0.79,High
Pune,Swiggy,Low,62,1,1,6,23,0.9,Low
Bengaluru,Zomato,High,22,1,8,3,53,0.83,Low
Pune,Swiggy,Low,32,1,2,7,14,0.67,Low
Delhi,Zomato,Low,46,0,10,2,50,0.94,Low
Pune,Swiggy,High,20,4,1,9,60,0.66,Medium
Hyderabad,Zomato,High,69,1,10,3,47,0.89,Medium
Mumbai,Zomato,Medium,58,2,9,7,27,0.99,Medium
Delhi,Zomato,Medium,41,2,8,3,9,0.65,Medium
Hyderabad,Zomato,High,55,6,6,9,41,0.53,High
Delhi,Zomato,Medium,78,5,3,3,33,0.73,Medium
Bengaluru,Swiggy,High,55,3,10,10,43,0.83,High
Hyderabad,Zomato,High,47,6,1,9,7,0.42,Medium
Delhi,Swiggy,Medium,32,2,3,5,44,0.55,Medium
Mumbai,Zomato,Low,54,0,6,8,7,0.77,Medium
Hyderabad,Swiggy,High,55,3,4,9,51,0.88,Medium
Bengaluru,Swiggy,High,44,3,6,9,4,0.41,High
Bengaluru,Swiggy,Medium,69,6,8,4,59,0.78,Medium
Bengaluru,Swiggy,High,32,2,8,3,44,0.44,Medium
Delhi,Swiggy,Medium,47,2,9,5,9,0.5,Medium
Bengaluru,Swiggy,Medium,65,1,1,3,60,0.59,Low
Mumbai,Zomato,Medium,56,4,6,2,51,0.82,Medium
Hyderabad,Swiggy,High,53,0,9,3,27,0.73,Medium
Pune,Swiggy,Medium,76,1,6,6,24,0.58,Medium
Hyderabad,Zomato,High,72,6,1,2,43,0.61,Medium
Delhi,Swiggy,High,63,2,7,2,25,0.55,Medium
Bengaluru,Swiggy,High,72,6,6,9,52,0.71,High
Pune,Swiggy,Low,61,1,6,9,6,0.97,Medium
Delhi,Swiggy,Medium,33,5,4,7,54,0.46,Medium
Hyderabad,Zomato,Medium,80,0,3,1,30,0.83,Low
Mumbai,Swiggy,Low,31,6,5,9,5,0.74,Medium
Delhi,Zomato,Medium,48,5,7,7,21,0.41,Medium
Mumbai,Swiggy,Medium,59,0,10,1,45,0.91,Medium
Bengaluru,Swiggy,Low,63,2,10,2,19,0.86,Medium
Pune,Zomato,Medium,62,0,8,3,35,0.53,Medium
Pune,Zomato,High,29,2,6,1,36,0.92,Low
Delhi,Swiggy,Low,56,4,7,9,36,0.97,Medium
Bengaluru,Swiggy,High,77,5,6,4,27,0.94,Medium
Hyderabad,Swiggy,Low,34,4,5,4,8,0.51,Low
Hyderabad,Swiggy,High,79,4,8,9,5,0.57,High
Mumbai,Zomato,Low,66,4,8,6,23,0.48,High
Delhi,Swiggy,Low,24,1,6,8,29,0.6,Low
Bengaluru,Swiggy,Medium,43,6,6,7,11,0.4,Medium
Delhi,Swiggy,High,61,3,5,6,9,0.81,Medium
Bengaluru,Zomato,Medium,42,6,5,8,36,0.47,Medium
Hyderabad,Swiggy,High,74,6,3,9,13,0.56,High
Mumbai,Swiggy,High,74,4,1,10,38,0.64,High
Hyderabad,Swiggy,High,55,2,9,9,31,0.79,High
Delhi,Zomato,Medium,77,6,10,5,9,0.68,High
Hyderabad,Swiggy,Medium,52,0,4,10,44,0.5,Medium
Hyderabad,Swiggy,Medium,31,4,10,3,48,0.84,Medium
Bengaluru,Swiggy,Low,51,1,2,5,24,0.54,Low
Delhi,Zomato,Medium,78,3,1,1,42,0.59,Medium
Hyderabad,Zomato,High,36,4,9,10,12,0.63,High
Pune,Zomato,Medium,77,6,2,9,17,0.63,Medium
Delhi,Zomato,Medium,75,2,8,8,57,0.76,High
Hyderabad,Swiggy,Medium,34,0,9,5,14,0.49,Medium
Delhi,Zomato,Medium,72,0,4,7,52,0.6,Medium
Mumbai,Zomato,Medium,50,1,10,3,42,0.9,Medium
Mumbai,Swiggy,Low,56,4,3,3,41,0.71,Medium
Hyderabad,Swiggy,Low,36,1,9,7,39,0.98,Low
Mumbai,Zomato,High,33,3,10,8,56,0.69,Medium
Delhi,Zomato,Medium,70,4,3,10,43,0.71,Medium
Delhi,Zomato,High,58,4,2,4,25,0.63,Medium
Mumbai,Swiggy,Low,75,4,7,3,39,0.46,Medium
Pune,Swiggy,High,54,4,2,2,31,0.8,Medium
Hyderabad,Swiggy,High,69,5,7,9,27,0.62,High
Mumbai,Zomato,Low,71,3,7,6,38,0.88,Medium
Hyderabad,Swiggy,Medium,36,3,4,2,19,0.76,Low
Hyderabad,Zomato,Low,20,5,1,10,34,0.47,Medium
Mumbai,Zomato,Medium,64,6,6,7,24,0.46,High
Pune,Zomato,Low,54,3,10,6,40,0.57,Medium
Pune,Swiggy,Medium,70,4,8,3,24,0.74,Medium
Pune,Zomato,High,56,2,7,3,55,0.92,Medium
Mumbai,Swiggy,Medium,64,1,2,4,33,0.64,Low
Bengaluru,Swiggy,Low,60,0,2,3,31,0.96,Low
Pune,Swiggy,Low,34,2,2,10,3,0.83,Low
Pune,Zomato,High,58,0,3,8,29,0.41,Medium
Hyderabad,Zomato,Low,70,4,9,9,45,0.54,High
Delhi,Swiggy,Medium,61,0,3,2,18,0.87,Low
Bengaluru,Zomato,Medium,32,4,1,2,59,0.45,Low
Bengaluru,Zomato,Medium,72,2,4,10,13,0.67,Medium
Pune,Swiggy,Low,46,4,2,9,5,0.7,Medium
Bengaluru,Swiggy,High,36,4,10,5,45,0.67,Medium
Pune,Zomato,High,68,2,8,8,58,0.75,High
Mumbai,Zomato,Low,24,3,4,4,52,0.59,Low
Bengaluru,Swiggy,High,36,1,5,2,26,0.8,Low
Bengaluru,Swiggy,Medium,31,3,6,6,14,0.94,Low
Bengaluru,Swiggy,High,63,1,8,4,16,0.84,Medium
Bengaluru,Swiggy,Low,73,1,10,6,10,0.87,Medium
Mumbai,Swiggy,Medium,62,3,10,1,49,0.91,Medium
Mumbai,Zomato,Medium,40,3,10,5,32,0.51,Medium
Hyderabad,Zomato,Medium,68,4,3,1,34,0.88,Medium
Pune,Swiggy,Medium,45,6,3,8,8,0.82,Medium
Pune,Zomato,Medium,20,5,4,7,38,0.46,Medium
Bengaluru,Zomato,Low,36,1,5,8,40,0.61,Low
Delhi,Zomato,Medium,46,5,6,6,55,0.64,Medium
Pune,Swiggy,Medium,56,5,4,2,47,0.56,Medium
Delhi,Zomato,High,32,1,3,8,52,0.41,Medium
Pune,Zomato,Low,77,6,9,9,47,0.59,High
Pune,Zomato,Low,74,4,1,7,7,0.81,Medium
Mumbai,Swiggy,High,50,6,2,8,48,0.6,Medium
Bengaluru,Zomato,Medium,79,6,5,6,2,0.65,Medium
Bengaluru,Swiggy,Medium,61,5,9,3,50,0.57,Medium
Bengaluru,Zomato,High,48,0,7,10,19,0.68,Medium
Delhi,Swiggy,Medium,79,2,7,10,37,0.64,Medium
Mumbai,Swiggy,Low,34,2,6,5,46,0.56,Medium
Pune,Zomato,High,69,6,6,10,34,0.98,High
Pune,Swiggy,Low,21,1,4,5,48,0.82,Low
Mumbai,Swiggy,Low,26,0,2,8,36,0.43,Low
Pune,Swiggy,Low,59,1,2,7,20,0.54,Low
Bengaluru,Zomato,Medium,28,4,3,1,3,0.8,Low
Bengaluru,Zomato,Medium,75,4,5,9,29,0.48,High
Hyderabad,Swiggy,Medium,49,5,10,7,34,0.78,Medium
Hyderabad,Zomato,High,50,4,4,2,29,0.58,Medium
Pune,Zomato,Low,20,0,9,3,23,0.57,Low
Hyderabad,Swiggy,Medium,51,6,8,5,1,0.86,Medium
Bengaluru,Swiggy,High,55,2,4,7,57,0.74,Medium
Pune,Swiggy,Low,67,5,7,7,15,0.56,Medium
Pune,Swiggy,Medium,71,4,5,5,42,0.85,Medium
Bengaluru,Zomato,Low,24,1,3,5,8,0.78,Low
Hyderabad,Zomato,Low,59,3,4,6,2,0.49,Medium
Hyderabad,Swiggy,Low,26,2,5,3,46,0.66,Low
Mumbai,Swiggy,Low,20,3,4,6,27,0.59,Low
Pune,Zomato,Medium,70,0,6,2,54,0.85,Low
Delhi,Swiggy,Low,45,0,9,8,12,0.52,Medium
Bengaluru,Zomato,High,27,6,4,7,50,0.98,Medium
Delhi,Swiggy,Low,67,6,2,9,43,0.99,Medium
Pune,Zomato,Medium,39,2,3,1,48,0.96,Low
Hyderabad,Swiggy,Low,60,2,4,6,57,0.43,Medium
Delhi,Swiggy,Low,47,2,1,3,51,0.57,Low
Mumbai,Zomato,High,20,0,10,8,45,0.76,Medium
Bengaluru,Swiggy,Low,51,0,10,6,60,0.98,Low
Mumbai,Swiggy,Medium,29,5,9,2,9,0.69,Medium
Bengaluru,Zomato,High,48,5,4,1,45,0.63,Medium
Delhi,Zomato,High,51,5,8,9,19,0.73,High
Pune,Swiggy,Medium,54,2,6,8,18,0.92,Medium
Hyderabad,Swiggy,Low,29,3,5,5,35,0.62,Low
Mumbai,Zomato,High,76,0,10,6,50,0.77,Medium
Bengaluru,Swiggy,Medium,54,6,7,4,34,0.81,Medium
Hyderabad,Swiggy,Medium,40,3,6,2,7,0.71,Low
Mumbai,Swiggy,High,28,1,1,4,7,0.69,Low
Mumbai,Swiggy,Medium,73,3,8,9,40,0.82,High
Bengaluru,Swiggy,Medium,58,5,2,1,60,0.95,Medium
Pune,Swiggy,Medium,60,0,6,9,48,0.96,Medium
Pune,Zomato,High,23,6,10,5,34,0.42,Medium
Mumbai,Zomato,Low,33,4,2,2,47,0.54,Low
Pune,Swiggy,Low,62,1,10,3,36,0.85,Low
Pune,Swiggy,High,56,2,8,7,57,0.46,High
Delhi,Zomato,Medium,62,1,9,10,29,0.96,Medium
Bengaluru,Zomato,High,46,6,7,6,39,0.54,Medium
Hyderabad,Swiggy,Medium,55,5,5,6,29,0.67,Medium
Pune,Swiggy,High,38,4,1,9,9,1.0,Medium
Bengaluru,Swiggy,Medium,34,1,6,1,50,0.89,Low
Bengaluru,Swiggy,Low,49,2,3,3,17,0.62,Low
Hyderabad,Swiggy,Low,71,2,2,10,26,0.74,Medium
Delhi,Swiggy,High,70,3,3,8,53,0.94,Medium
Hyderabad,Swiggy,Medium,39,0,10,7,6,0.87,Medium
Bengaluru,Zomato,High,47,3,2,4,48,0.79,Low
Hyderabad,Swiggy,Medium,60,3,1,5,34,0.42,Medium
Hyderabad,Swiggy,Medium,64,1,3,1,44,0.84,Low
Pune,Zomato,High,56,4,2,4,28,0.57,Medium
Pune,Swiggy,Low,25,3,10,1,36,0.64,Low
Mumbai,Zomato,Medium,69,5,3,3,31,0.74,Medium
Pune,Zomato,Medium,32,4,10,9,16,0.55,Medium
Bengaluru,Zomato,Medium,79,4,2,2,43,0.65,Medium
Bengaluru,Zomato,Low,42,4,1,5,11,0.99,Low
Hyderabad,Zomato,Medium,48,0,4,4,44,0.62,Low
Mumbai,Swiggy,High,35,4,3,5,1,0.61,Medium
Mumbai,Zomato,Medium,21,2,4,9,14,0.52,Medium
Hyderabad,Zomato,Medium,59,5,3,1,25,0.75,Medium
Hyderabad,Swiggy,Low,23,2,4,10,18,0.43,Low
Mumbai,Swiggy,Medium,37,5,6,2,2,0.58,Medium
Pune,Swiggy,High,52,5,2,6,32,0.92,Medium
Hyderabad,Swiggy,Low,52,3,9,1,3,0.55,Medium
Hyderabad,Zomato,Medium,45,5,3,1,23,0.81,Low
Bengaluru,Zomato,Low,52,2,1,5,57,0.63,Low
Mumbai,Zomato,Low,41,3,3,2,47,0.63,Low
Hyderabad,Swiggy,Medium,56,1,7,5,59,0.76,Medium
Pune,Swiggy,Low,28,4,9,4,56,0.48,Medium
Hyderabad,Swiggy,Medium,78,6,3,10,59,0.49,Medium
Mumbai,Swiggy,Low,73,1,1,6,57,0.98,Low
Pune,Zomato,Medium,79,6,5,3,50,0.51,Medium
Delhi,Swiggy,Low,59,4,5,10,37,0.77,Medium
Hyderabad,Swiggy,Low,21,2,2,8,9,0.7,Low
Hyderabad,Zomato,High,43,1,7,8,31,0.48,Medium
Delhi,Swiggy,Low,68,0,5,7,15,0.85,Medium
Delhi,Swiggy,Low,79,3,10,8,45,0.59,High
Pune,Swiggy,Medium,69,0,10,7,47,0.59,Medium
Hyderabad,Swiggy,Medium,48,3,1,4,34,0.72,Low
Mumbai,Zomato,Medium,60,0,4,5,29,0.64,Medium
Bengaluru,Zomato,Medium,47,2,10,1,45,0.71,Medium
Delhi,Zomato,High,48,0,9,2,12,0.87,Medium
Hyderabad,Swiggy,Medium,40,3,1,3,30,0.75,Low
Delhi,Zomato,Low,40,5,3,2,6,0.47,Medium
Pune,Zomato,Low,65,3,9,10,11,0.63,Medium
Pune,Swiggy,High,78,2,10,3,11,0.92,Medium
Delhi,Swiggy,Medium,39,5,8,5,41,0.51,High
Delhi,Swiggy,Low,68,2,1,8,32,0.91,Medium
Hyderabad,Swiggy,Medium,51,1,4,10,43,0.69,Low
Pune,Zomato,Low,58,0,4,9,18,0.77,Low
Hyderabad,Swiggy,Low,29,0,6,1,10,0.91,Low
Hyderabad,Zomato,Medium,25,0,2,7,12,0.5,Low
Bengaluru,Swiggy,High,67,4,6,1,6,0.86,Medium
Bengaluru,Zomato,High,72,0,7,9,5,0.58,High
Delhi,Swiggy,Medium,37,2,9,7,34,0.53,Medium
Delhi,Swiggy,Low,66,5,9,2,31,0.83,Medium
Hyderabad,Zomato,Medium,74,2,5,9,37,1.0,Medium
Bengaluru,Swiggy,Medium,51,4,8,8,52,0.51,High
Hyderabad,Swiggy,High,32,0,2,1,30,0.78,Low
Mumbai,Swiggy,High,46,3,1,6,23,0.74,Medium
Delhi,Swiggy,Medium,64,2,5,2,20,0.58,Medium
Hyderabad,Zomato,High,27,5,6,6,26,0.83,Medium
Hyderabad,Swiggy,High,32,2,6,8,59,0.68,Medium
Mumbai,Swiggy,Medium,60,3,9,6,30,0.87,Medium
Pune,Swiggy,High,39,4,6,9,35,0.41,High
Hyderabad,Zomato,High,76,6,6,2,10,0.57,Medium
Mumbai,Zomato,High,60,4,3,10,39,0.63,High
Hyderabad,Swiggy,High,68,2,6,1,18,0.65,Medium
Pune,Swiggy,Medium,73,2,4,9,20,0.51,Medium
Bengaluru,Swiggy,High,78,0,8,9,2,0.88,High
Hyderabad,Swiggy,Low,79,3,9,5,50,0.6,Medium
Mumbai,Swiggy,Low,22,3,7,9,8,0.4,Medium
Mumbai,Swiggy,Medium,76,0,2,9,50,0.8,Medium
Bengaluru,Swiggy,Medium,39,5,4,6,13,0.52,Medium
Bengaluru,Zomato,High,62,0,5,3,11,0.56,Medium
Mumbai,Swiggy,Low,42,4,6,5,10,0.97,Medium
Bengaluru,Swiggy,Low,39,4,6,9,29,0.43,Medium
Mumbai,Zomato,High,23,0,7,1,6,0.66,Medium
Delhi,Zomato,Medium,39,2,4,9,6,0.98,Medium
Pune,Swiggy,Low,71,5,8,2,30,0.59,Medium
Pune,Zomato,Low,34,1,10,5,59,0.62,Low
Delhi,Zomato,High,76,2,8,8,2,0.44,High
Mumbai,Zomato,Medium,74,1,5,6,39,0.74,Medium
Hyderabad,Swiggy,Medium,65,6,2,6,36,0.79,Medium
Bengaluru,Zomato,Medium,46,1,10,4,36,0.5,Medium
Pune,Zomato,Low,33,6,10,7,51,0.99,Medium
Hyderabad,Zomato,Medium,35,1,2,10,54,0.69,Low
Hyderabad,Zomato,Medium,26,6,8,3,20,0.97,Medium
Mumbai,Swiggy,Medium,58,6,7,6,32,0.79,Medium
Mumbai,Swiggy,Low,28,4,1,3,43,0.49,Low
Hyderabad,Zomato,Medium,56,3,4,4,44,0.93,Low
Bengaluru,Zomato,High,79,3,6,2,38,0.4,Medium
Hyderabad,Zomato,High,74,2,1,6,58,0.73,Medium
Mumbai,Swiggy,High,72,2,2,5,56,0.42,Medium
Pune,Zomato,Medium,65,3,7,7,28,0.73,Medium
Delhi,Zomato,Low,55,3,6,7,10,0.57,Medium
Delhi,Swiggy,Low,61,0,3,8,43,0.66,Medium
Delhi,Swiggy,Low,71,3,8,10,60,0.66,Medium
Delhi,Zomato,Medium,55,6,8,7,23,0.54,High
Pune,Swiggy,Medium,74,5,4,9,18,0.65,Medium
Hyderabad,Zomato,Low,22,4,8,6,8,0.75,Medium
Mumbai,Swiggy,High,53,6,5,8,34,0.45,High
Hyderabad,Swiggy,Low,60,5,2,9,52,0.75,Medium
Hyderabad,Swiggy,High,54,6,1,8,30,0.71,Medium
Pune,Zomato,Medium,71,2,5,3,3,0.82,Medium
Hyderabad,Zomato,High,56,2,1,8,38,0.5,Medium
Mumbai,Zomato,High,59,0,5,8,6,0.48,High
Mumbai,Zomato,Low,59,2,5,5,1,0.84,Medium
Hyderabad,Swiggy,High,67,1,8,6,52,0.51,Medium
Delhi,Zomato,Low,53,6,1,6,6,0.98,Medium
Hyderabad,Swiggy,High,68,3,7,4,43,0.66,Medium
Delhi,Swiggy,Medium,73,2,1,5,49,0.89,Medium
Mumbai,Swiggy,Medium,50,2,8,9,15,0.63,Medium
Pune,Zomato,Low,53,6,7,1,19,0.96,Low
Pune,Zomato,Medium,53,5,1,2,59,0.72,Low
Bengaluru,Zomato,Medium,61,6,5,6,18,0.56,Medium
Mumbai,Zomato,Medium,45,3,4,10,50,0.52,Medium
Bengaluru,Swiggy,Medium,20,5,1,2,1,0.65,Low
Hyderabad,Swiggy,Medium,42,1,5,5,13,0.42,Medium
Hyderabad,Swiggy,Low,58,5,4,10,41,0.47,Medium
Mumbai,Swiggy,High,28,3,10,3,58,0.47,Medium
Delhi,Zomato,Low,62,0,8,5,50,0.66,Medium
Bengaluru,Zomato,Low,24,2,1,7,25,0.6,Low
Mumbai,Zomato,High,36,1,8,2,32,0.99,Medium
Delhi,Zomato,Low,51,0,3,9,50,0.66,Low
Hyderabad,Swiggy,High,65,2,2,1,5,0.44,Medium
Bengaluru,Zomato,Low,51,1,1,1,43,0.63,Low
Delhi,Zomato,High,56,0,9,8,31,0.66,High
Mumbai,Swiggy,Low,64,6,8,2,37,0.72,Medium
Bengaluru,Zomato,Medium,45,0,2,6,35,0.91,Low
Bengaluru,Swiggy,High,68,6,5,4,12,0.73,Medium
Pune,Swiggy,Low,44,0,6,8,6,0.93,Medium
Pune,Swiggy,Low,32,0,10,4,32,0.63,Low
Hyderabad,Zomato,Medium,73,6,8,1,3,0.6,Medium
Bengaluru,Swiggy,Medium,33,6,9,8,44,0.92,Medium
Hyderabad,Swiggy,High,34,0,1,3,32,0.79,Low
Pune,Swiggy,Low,61,1,1,3,41,0.43,Low
Bengaluru,Swiggy,Medium,30,6,10,2,53,0.89,Medium
Mumbai,Zomato,Medium,59,1,2,4,28,0.6,Low
Pune,Zomato,Low,63,4,9,3,21,0.9,Medium
Delhi,Swiggy,Medium,41,0,2,5,10,0.85,Low
Delhi,Zomato,Medium,48,1,10,1,9,0.46,Medium
Hyderabad,Zomato,High,21,3,2,1,1,0.51,Medium
Mumbai,Zomato,Medium,71,6,8,3,14,0.49,High
Bengaluru,Zomato,Medium,80,1,10,1,39,0.51,Medium
Pune,Swiggy,Medium,70,2,6,7,1,0.73,Medium
Delhi,Swiggy,High,26,4,6,9,33,0.53,High
Delhi,Zomato,Low,27,6,3,8,32,0.51,Medium
Mumbai,Swiggy,Medium,38,1,7,5,22,0.77,Medium
Pune,Swiggy,Low,23,4,3,3,51,0.42,Low
Hyderabad,Swiggy,Low,35,5,8,10,38,0.6,Medium
Delhi,Zomato,Low,27,2,4,2,16,0.84,Low
Delhi,Zomato,High,24,3,10,8,4,0.93,High
Delhi,Swiggy,High,49,1,7,6,9,0.67,Medium
Delhi,Zomato,High,32,2,3,1,45,0.74,Low
Bengaluru,Swiggy,Low,49,3,7,3,49,0.61,Low
Bengaluru,Swiggy,High,60,4,3,10,36,0.91,Medium
Mumbai,Zomato,High,51,6,4,10,31,0.9,Medium
Bengaluru,Swiggy,High,67,6,4,4,21,0.66,Medium
Delhi,Swiggy,High,77,0,7,1,3,0.99,Medium
Hyderabad,Swiggy,Medium,45,3,2,8,32,0.54,Medium
Hyderabad,Swiggy,Medium,46,1,3,6,19,0.54,Low
Mumbai,Swiggy,Medium,39,1,8,10,48,0.75,Medium
Pune,Zomato,High,75,5,7,3,51,0.92,Medium
Pune,Swiggy,High,24,3,6,9,3,0.58,Medium
Bengaluru,Swiggy,High,25,4,6,1,33,0.97,Medium
Bengaluru,Swiggy,Low,43,3,10,1,24,0.62,Low
Hyderabad,Swiggy,Medium,69,1,3,6,16,0.72,Low
Pune,Swiggy,High,68,1,6,6,58,0.56,Medium
Pune,Zomato,Low,43,2,8,8,33,0.72,Medium
Mumbai,Zomato,High,63,6,9,5,29,0.77,High
Mumbai,Swiggy,High,49,0,2,7,58,0.51,Medium
Mumbai,Swiggy,Low,27,5,3,8,10,0.92,Medium
Hyderabad,Swiggy,Low,63,4,3,8,23,0.65,Medium
Mumbai,Zomato,Low,21,6,4,9,42,0.6,Medium
Hyderabad,Zomato,Medium,70,2,8,10,43,0.82,Medium
Hyderabad,Zomato,Medium,56,1,5,3,51,0.56,Medium
Pune,Zomato,High,69,6,1,3,23,0.57,Medium
Delhi,Swiggy,High,38,1,3,3,11,0.54,Medium
Mumbai,Zomato,Medium,48,2,6,3,14,0.74,Medium
Mumbai,Zomato,High,29,2,8,9,11,0.72,Medium
Mumbai,Swiggy,Medium,51,6,3,8,60,0.59,Medium
Mumbai,Zomato,Medium,38,3,5,10,43,0.49,Medium
Hyderabad,Zomato,Medium,27,5,8,1,9,0.81,Medium
Mumbai,Zomato,Low,59,6,4,8,23,0.46,Medium
Mumbai,Swiggy,Medium,34,6,5,4,2,0.45,Medium
Pune,Swiggy,High,45,1,8,6,39,0.76,Medium
Mumbai,Zomato,Medium,65,6,7,6,25,0.62,Medium
Bengaluru,Zomato,Medium,48,6,9,2,14,0.84,Medium
Pune,Zomato,High,38,1,7,7,9,0.9,Medium
Hyderabad,Swiggy,Low,39,3,9,6,5,0.96,Medium
Hyderabad,Zomato,Low,46,5,5,7,12,0.73,Medium
Hyderabad,Swiggy,Low,73,3,5,9,32,0.43,Medium
Bengaluru,Zomato,Medium,67,3,4,1,51,0.4,Medium
Bengaluru,Zomato,High,73,5,8,2,42,0.8,Medium
Bengaluru,Zomato,Low,78,5,4,1,8,0.86,Low
Pune,Swiggy,Medium,43,4,8,10,28,0.92,Medium
Pune,Swiggy,Medium,66,4,1,5,11,0.75,Medium
Delhi,Zomato,Medium,64,1,6,3,4,0.56,Medium
Pune,Zomato,Low,38,4,2,9,13,0.86,Medium
Delhi,Swiggy,Medium,30,4,6,6,53,0.91,Medium
Bengaluru,Zomato,Medium,64,2,2,9,38,0.61,Medium
Delhi,Swiggy,Low,38,2,8,7,22,0.95,Medium
Delhi,Swiggy,Low,52,1,4,9,40,0.81,Low
Hyderabad,Swiggy,Medium,78,0,2,3,60,0.41,Low
Bengaluru,Zomato,Medium,28,6,8,10,34,0.86,Medium
Bengaluru,Swiggy,High,21,5,2,4,9,0.91,Low
Delhi,Swiggy,Medium,33,1,2,7,45,0.86,Low
Mumbai,Swiggy,Low,50,6,7,1,13,0.46,Medium
Hyderabad,Swiggy,Medium,78,2,1,2,20,0.8,Low
Mumbai,Swiggy,High,33,4,4,3,43,0.61,Medium
Mumbai,Swiggy,High,80,2,10,6,23,0.5,High
Hyderabad,Swiggy,Medium,24,0,10,1,34,0.53,Low
Delhi,Zomato,Low,68,4,1,2,60,0.53,Medium
Hyderabad,Zomato,Medium,57,1,8,2,12,0.9,Medium
Pune,Zomato,Low,34,3,2,6,8,0.68,Low
