claim_count_7d,avg_claim_amount,location_jump_km,cluster_claim_count,device_motion_score,vpn_flag,claim_trigger_frequency,trust_score
6,1360,18.46,8,0.43,1,5,0.82
0,1390,10.88,3,0.99,1,3,0.67
3,384,11.86,10,0.43,1,5,0.79
1,297,12.36,7,0.93,0,5,0.59
6,3675,37.16,24,0.2,0,5,0.16
3,500,16.05,3,0.6,1,6,0.88
5,1392,16.73,1,0.35,0,4,0.71
4,352,13.84,1,0.79,1,1,0.8
3,1120,23.63,4,0.89,0,0,0.64
5,766,4.96,5,0.59,1,0,0.9
6,3296,38.57,17,0.09,1,10,0.12
13,3485,51.37,9,0.2,1,6,0.37
5,3901,24.1,9,0.03,0,5,0.28
3,754,16.36,6,0.62,0,5,0.46
5,896,10.75,1,0.51,0,7,0.65
13,3872,55.85,30,0.25,0,9,0.19
2,413,19.25,6,0.59,1,5,0.66
3,1019,14.28,5,0.81,1,3,0.92
5,1159,10.44,10,0.58,1,8,0.9
4,466,14.48,4,0.22,0,1,0.42
2,763,15.59,4,0.29,1,1,0.61
0,871,21.58,3,0.3,1,7,0.65
1,1062,3.53,5,0.47,1,3,0.46
3,1150,17.65,8,0.8,0,3,0.82
2,190,4.98,5,0.78,1,2,0.93
0,573,10.06,10,0.88,1,1,0.5
3,326,11.72,5,0.39,1,2,0.63
4,473,16.11,8,0.68,1,7,0.71
1,1464,6.53,6,0.24,1,8,0.7
4,436,2.67,9,0.72,1,4,0.44
0,861,14.09,9,0.41,1,2,0.47
5,1014,20.59,4,0.85,0,1,0.88
6,1042,1.17,5,0.91,0,1,0.81
4,752,19.42,4,0.25,1,3,0.67
5,996,2.34,2,0.84,0,8,0.76
1,936,20.28,1,0.6,1,0,0.49
6,793,22.78,2,0.69,1,2,0.56
8,2578,57.78,19,0.08,0,5,0.14
0,960,14.98,6,0.8,1,0,0.94
3,596,0.85,5,0.47,0,4,0.49
5,2779,83.14,15,0.17,0,11,0.53
6,1150,3.04,1,0.64,1,1,0.56
3,184,23.07,8,0.93,0,2,0.72
2,733,1.71,10,0.31,1,3,0.64
1,427,22.29,10,0.99,0,2,0.94
2,1487,10.27,4,0.86,1,1,0.81
1,545,6.57,3,0.59,1,1,0.86
5,2402,89.45,8,0.2,0,10,0.12
3,180,11.83,8,0.81,1,6,0.88
2,1300,10.31,10,0.33,1,7,0.93
1,118,5.62,10,0.64,0,2,0.41
4,1273,10.42,10,0.3,0,2,0.92
0,862,12.76,6,0.5,1,2,0.5
7,2422,73.32,25,0.05,1,7,0.52
3,1406,17.63,6,0.33,0,8,0.65
8,2078,51.61,23,0.23,0,9,0.27
3,740,8.9,4,0.38,1,5,0.84
2,1329,20.32,2,0.74,1,5,0.71
15,1854,88.2,9,0.07,1,8,0.25
5,1222,2.71,8,0.34,1,8,0.77
4,758,20.88,2,0.4,0,8,0.56
5,220,17.19,10,0.9,1,4,0.73
0,932,15.07,10,0.67,1,3,1.0
3,114,12.39,1,0.95,1,7,0.82
4,212,19.52,2,0.59,1,6,0.98
6,167,4.02,3,0.74,1,6,0.49
6,1195,6.75,8,0.43,0,3,0.84
6,1316,18.38,9,0.89,0,8,0.72
0,231,21.76,7,0.45,0,7,0.95
1,371,11.68,8,0.48,0,5,0.58
2,1141,21.5,8,0.28,1,6,0.59
14,2338,67.2,22,0.15,0,5,0.24
0,511,5.87,9,0.69,1,5,0.49
4,1487,17.92,1,0.54,0,0,0.72
3,566,16.85,6,0.31,1,3,0.99
0,864,19.01,1,0.31,1,4,0.92
0,1190,13.13,10,0.54,1,1,0.44
6,1204,24.72,4,0.42,0,2,0.95
6,790,6.62,7,0.65,1,5,0.81
4,485,19.71,2,0.29,1,8,0.82
4,1320,14.78,10,0.48,1,0,0.87
3,1395,23.95,3,0.56,1,2,0.73
4,786,9.07,10,0.42,1,1,0.62
4,349,3.22,4,0.87,1,3,0.72
2,721,3.57,7,0.64,1,7,0.55
3,204,15.89,1,0.59,0,3,0.43
5,1114,11.33,10,0.98,0,4,0.86
2,100,0.57,1,0.8,0,0,0.42
5,585,24.09,1,0.89,1,3,0.63
2,781,9.99,7,0.43,1,4,0.77
5,789,14.8,8,0.77,1,5,0.57
6,293,9.54,5,0.96,0,3,0.46
1,576,2.77,1,0.5,1,3,0.73
6,598,21.09,1,0.64,1,7,0.72
4,263,21.4,7,0.4,0,8,0.92
6,447,16.34,2,0.42,0,8,0.64
5,539,18.16,3,0.83,0,2,0.57
2,1290,9.25,8,0.38,0,3,0.98
12,1304,37.55,14,0.03,0,9,0.28
3,805,1.27,4,0.76,0,2,0.51
1,644,15.78,2,0.71,1,2,0.45
3,1026,18.26,3,0.22,1,6,0.67
10,1856,81.71,30,0.06,1,8,0.54
1,1185,13.48,2,0.23,1,5,0.79
7,2788,88.47,19,0.08,1,11,0.43
1,203,17.44,4,0.94,1,3,0.54
0,460,7.01,7,0.47,0,3,0.74
4,916,17.25,2,0.53,1,8,0.78
8,2314,25.26,13,0.2,1,5,0.31
0,185,0.47,2,0.87,1,7,0.72
13,1877,79.41,16,0.12,0,10,0.36
1,1448,6.16,1,0.35,1,5,0.84
4,1263,4.84,3,0.41,0,7,0.47
4,340,2.15,10,0.96,0,0,0.73
3,569,20.69,2,0.23,0,2,0.76
12,2537,28.56,27,0.21,1,8,0.34
6,305,6.69,3,0.51,0,0,0.66
6,360,9.67,9,0.45,0,2,0.6
3,440,17.22,2,0.44,1,8,0.68
1,1379,0.8,5,0.22,1,3,0.64
12,3391,90.8,13,0.05,1,6,0.12
2,1447,14.93,6,0.5,0,8,0.97
2,383,19.8,4,0.27,1,6,0.48
3,324,12.96,2,0.95,1,0,0.69
3,173,15.77,8,0.86,1,4,0.64
5,914,12.77,4,0.8,1,1,0.63
0,1298,20.81,2,0.69,1,2,0.42
7,3745,96.05,26,0.03,0,12,0.38
0,1407,16.27,1,0.21,1,1,0.86
4,258,15.52,5,0.99,1,7,0.44
6,3514,79.45,8,0.25,1,9,0.33
3,1146,2.39,8,0.54,1,6,1.0
5,333,23.16,2,0.84,1,3,0.93
1,972,17.04,7,0.45,1,6,0.77
9,2324,75.92,22,0.2,1,11,0.22
1,854,23.1,3,0.94,1,5,0.77
4,378,14.76,6,0.94,0,4,0.52
2,1395,11.77,3,0.38,1,8,0.62
1,1442,2.17,7,0.88,0,7,0.45
5,1376,20.31,9,0.77,1,5,0.82
5,717,23.89,5,0.47,0,2,0.45
3,307,15.06,2,0.82,0,4,0.6
5,667,6.49,2,0.86,1,8,0.54
10,2755,87.01,18,0.14,1,9,0.39
3,851,0.77,5,0.24,0,8,0.71
14,1903,27.36,29,0.12,0,12,0.49
5,226,23.88,8,0.5,1,4,0.66
4,113,1.56,3,0.95,0,7,0.56
2,1290,18.58,4,0.76,1,4,0.44
9,1701,75.58,16,0.09,0,11,0.1
4,810,9.76,4,0.78,1,7,0.96
6,452,23.62,5,0.82,0,1,0.86
10,2807,74.45,15,0.03,0,9,0.3
10,2965,44.93,20,0.24,0,10,0.45
6,1140,6.25,10,0.61,1,2,0.96
0,454,21.8,3,0.35,1,4,0.49
13,3508,34.86,27,0.17,0,6,0.53
1,138,20.89,9,1.0,0,7,0.49
0,227,2.08,9,0.33,1,7,0.66
6,1385,16.9,9,0.37,1,7,0.78
0,1175,14.63,7,0.38,1,8,0.85
2,1327,2.84,9,0.51,1,3,0.7
1,108,4.82,7,0.47,0,1,0.82
1,1390,1.95,5,0.94,0,4,0.5
5,137,15.04,8,0.87,1,6,0.48
5,1049,13.78,10,0.65,0,2,0.9
5,1486,21.6,1,0.3,0,2,0.54
4,982,22.16,2,0.53,1,5,0.74
4,1285,10.9,10,0.44,0,6,0.81
7,1592,99.29,26,0.12,1,10,0.42
0,633,1.94,8,0.25,0,5,0.93
2,971,14.97,1,0.39,1,4,0.47
5,2895,97.14,11,0.15,0,5,0.55
5,1459,15.21,7,0.28,0,0,0.47
3,906,22.72,2,0.71,1,6,0.85
3,551,8.57,1,0.64,1,5,0.62
3,789,1.5,10,0.84,0,1,0.98
4,726,22.86,4,0.74,0,4,0.84
6,828,9.46,6,0.33,1,4,0.44
5,1145,22.03,1,0.86,0,0,0.87
2,981,4.79,2,0.78,1,0,0.95
5,2031,53.5,18,0.14,0,12,0.1
6,254,5.72,10,0.97,1,7,0.4
8,1963,89.3,30,0.23,1,5,0.13
3,221,16.27,5,0.79,1,4,0.84
1,1403,21.49,2,0.75,1,7,0.95
4,378,6.76,4,0.7,0,8,0.85
1,1064,8.62,4,0.94,1,1,0.5
2,1213,8.46,4,0.79,1,5,0.59
9,2492,86.91,13,0.24,0,11,0.41
0,1324,13.63,10,0.4,0,7,0.94
2,191,20.01,10,0.6,0,7,0.85
8,2492,29.16,20,0.13,0,6,0.38
4,1205,0.5,8,0.33,0,7,0.82
3,1132,2.6,10,0.85,0,1,0.85
1,791,15.79,5,0.33,0,3,0.61
15,3862,97.35,22,0.16,1,8,0.13
5,332,22.11,10,0.29,0,6,0.59
5,942,3.07,9,0.97,1,0,0.81
15,2929,51.89,23,0.1,0,7,0.52
0,672,17.38,9,0.51,0,5,0.69
6,283,2.75,4,0.61,0,1,0.88
0,849,9.87,5,0.77,0,3,0.46
1,1490,1.15,10,0.45,0,6,0.58
7,2910,69.33,30,0.11,0,10,0.4
1,1325,0.0,2,0.72,1,8,0.73
0,804,10.0,1,0.26,0,0,0.61
0,920,7.0,8,0.35,1,1,0.81
3,151,14.03,10,0.82,0,2,0.88
4,1459,0.74,9,0.53,1,5,0.72
1,767,7.75,9,0.72,0,5,0.93
2,1424,20.26,9,0.54,0,1,0.92
8,2232,27.96,24,0.02,1,12,0.1
5,2225,42.54,24,0.09,1,5,0.21
9,1559,22.93,11,0.17,1,6,0.49
0,1201,20.5,10,0.36,1,8,0.89
4,292,21.6,8,0.86,1,1,0.55
13,2421,95.42,24,0.11,0,6,0.32
4,917,16.22,9,0.73,1,3,0.84
0,1253,19.96,4,0.5,1,0,0.47
13,3246,59.57,17,0.05,1,6,0.51
4,1254,23.94,3,0.23,0,7,0.98
0,456,24.71,10,0.74,0,6,0.61
0,524,9.62,10,0.34,0,1,1.0
1,1358,15.77,7,0.31,0,2,0.73
6,3064,62.84,22,0.23,0,8,0.3
6,1232,5.13,7,0.73,0,6,0.84
3,348,20.6,10,0.89,0,4,0.47
8,3851,60.52,30,0.19,1,5,0.28
2,1094,24.5,5,0.96,0,8,0.57
5,411,19.58,4,0.82,0,1,0.62
4,411,2.9,2,0.56,1,7,0.41
6,180,3.9,2,0.92,0,7,0.71
1,541,13.5,7,0.37,0,0,0.91
0,1406,15.85,4,0.32,0,1,0.96
1,334,4.16,4,0.33,1,6,0.94
1,337,24.39,6,0.31,1,2,0.83
5,124,18.81,1,0.84,1,2,0.9
3,1186,20.89,2,0.27,1,7,0.49
0,996,0.99,1,0.27,1,0,0.63
6,962,23.01,4,0.91,1,0,0.64
0,1316,0.01,3,0.94,0,8,0.64
6,1120,13.67,10,0.97,1,4,0.88
7,2115,70.61,27,0.12,0,9,0.17
5,1267,13.94,1,0.39,0,0,0.49
0,680,9.06,6,0.52,0,8,0.99
0,863,4.11,4,0.4,0,0,0.74
6,3997,50.58,8,0.07,1,9,0.12
3,755,11.09,8,0.81,0,6,0.7
3,787,15.9,1,0.71,0,8,0.59
2,187,7.53,7,1.0,0,3,0.99
3,1148,19.09,7,0.46,1,5,0.96
3,1385,1.31,3,0.92,1,0,0.81
1,575,8.57,1,0.3,0,6,0.57
5,602,16.99,7,0.96,1,2,0.52
1,1185,1.72,4,0.24,0,4,0.89
6,1166,18.87,10,0.74,0,5,0.82
5,212,5.6,5,0.55,0,2,0.42
3,789,13.51,7,0.96,1,2,0.81
1,366,18.31,7,0.61,0,4,0.47
2,573,15.19,5,0.88,0,2,0.47
0,585,5.68,5,0.8,1,3,0.9
2,998,10.48,7,0.64,1,0,0.43
0,462,12.81,3,0.83,0,5,0.69
1,1283,22.13,2,0.94,1,1,0.81
0,762,19.17,6,0.48,0,2,0.6
6,683,24.27,5,0.32,0,2,0.99
1,456,2.94,10,0.43,1,5,0.4
1,401,16.08,6,0.72,1,1,0.98
1,1139,8.46,10,0.73,1,3,0.43
2,1462,1.45,10,0.31,1,6,0.94
0,193,13.81,3,0.47,1,3,0.47
4,214,18.83,10,0.77,0,7,0.45
12,2334,51.52,8,0.01,0,10,0.45
5,651,23.88,2,0.94,0,8,0.73
3,1073,24.98,9,0.66,0,4,0.43
1,1389,19.83,1,0.69,1,0,0.5
4,438,2.43,4,0.52,1,4,0.62
3,313,12.02,8,0.82,1,1,0.72
6,938,19.24,8,0.41,0,8,0.53
5,870,16.73,8,0.81,1,6,0.95
5,133,5.73,3,0.25,1,8,0.65
4,1055,13.47,2,0.25,1,5,0.64
0,1441,3.24,2,0.51,0,2,0.4
7,2497,37.82,21,0.05,0,11,0.14
1,1172,17.2,10,0.32,1,7,0.89
1,1320,16.63,6,0.99,1,4,0.52
4,1333,18.25,9,0.85,1,5,0.73
1,1280,21.93,8,0.61,0,1,0.41
1,1384,6.22,3,0.58,0,6,0.69
6,1310,14.73,1,0.4,1,4,0.9
3,216,8.36,2,0.4,0,4,0.44
4,1499,3.08,8,0.53,1,1,0.62
5,500,2.27,1,0.51,0,8,0.79
3,1119,9.28,7,0.62,0,8,0.42
1,1163,21.11,2,0.92,1,7,0.46
4,219,1.37,2,0.44,1,3,0.74
5,908,5.62,6,0.9,0,7,0.87
1,842,8.24,9,0.82,0,3,0.77
4,991,5.55,1,0.81,1,1,0.58
4,1072,7.14,3,0.21,1,1,0.77
5,1268,15.49,5,0.56,0,6,0.97
15,3123,32.18,11,0.06,1,11,0.31
3,1414,17.9,3,0.84,0,0,0.57
6,1464,22.62,7,0.42,0,1,0.72
12,3904,57.09,24,0.03,1,9,0.15
0,1297,11.83,2,0.8,0,4,0.43
1,695,11.87,4,0.31,0,6,0.46
6,1092,3.17,4,0.59,1,5,0.93
1,265,19.53,4,0.84,0,2,0.98
6,1320,2.69,4,0.74,0,3,0.56
1,985,12.72,2,0.24,0,0,0.44
1,894,14.45,3,0.79,1,1,0.67
5,522,23.57,10,0.89,1,7,0.98
5,446,19.44,10,0.42,0,2,0.78
15,1632,53.94,25,0.15,1,7,0.48
0,1467,23.31,6,0.26,0,4,0.95
4,176,8.87,7,0.81,0,4,0.71
0,1221,5.88,8,0.22,1,8,0.79
6,1052,15.36,1,0.38,1,6,0.48
1,1052,16.49,1,0.24,1,0,0.83
6,969,24.46,10,0.21,1,7,0.57
6,417,11.39,2,0.39,1,1,0.7
0,261,6.98,7,0.58,0,2,0.86
6,728,23.44,5,0.84,0,2,0.48
0,662,13.72,6,0.68,0,1,0.49
5,737,13.16,3,0.74,0,6,0.5
1,295,9.54,6,0.28,1,1,0.55
1,450,18.31,1,0.54,1,0,0.46
11,1293,58.78,15,0.05,1,11,0.36
3,723,11.21,1,0.37,1,4,0.72
4,757,8.05,10,0.47,1,4,0.93
3,455,22.16,7,0.45,1,2,0.8
3,281,21.32,8,0.95,1,4,0.75
5,842,6.26,6,0.76,1,1,0.73
1,1257,19.39,8,0.9,1,8,0.64
3,932,18.95,7,0.7,1,5,0.96
4,851,12.32,10,0.87,1,0,0.97
4,973,7.87,5,0.97,1,0,0.59
3,366,11.07,1,0.21,0,7,0.41
6,1903,89.99,19,0.1,1,11,0.1
2,1304,15.67,3,0.37,0,0,0.64
0,174,8.43,1,0.85,0,4,0.64
6,1301,19.87,7,0.3,0,3,0.71
2,875,22.13,1,0.28,0,4,0.78
11,1222,54.33,17,0.0,0,8,0.14
2,100,17.56,7,0.97,1,5,0.41
4,376,23.61,8,0.75,1,6,0.46
4,328,23.89,10,0.37,1,5,0.71
1,1479,24.01,2,0.42,1,2,0.63
3,1127,11.02,1,0.29,1,8,0.69
2,690,3.89,9,0.95,0,1,0.45
15,1299,77.57,18,0.21,1,9,0.17
4,331,7.87,4,0.25,0,0,0.81
5,545,16.02,4,0.43,1,3,0.74
1,886,20.34,9,0.78,0,2,0.76
1,200,12.83,5,0.67,1,8,0.75
0,1340,4.42,10,0.23,0,1,0.69
4,1067,7.54,7,0.43,0,5,0.77
5,686,19.63,2,0.85,1,3,0.43
5,1427,5.35,3,0.36,1,3,0.53
3,329,23.34,6,0.49,1,5,0.46
4,942,17.94,6,0.98,0,7,0.55
3,1382,7.91,8,0.46,1,7,0.53
3,1464,10.72,1,0.97,1,3,0.82
15,1914,76.08,28,0.07,1,10,0.31
3,1162,0.69,6,0.23,1,0,0.93
9,2183,77.35,27,0.12,1,11,0.42
5,197,7.24,7,0.73,0,7,0.91
14,2381,92.46,8,0.11,1,9,0.38
4,1290,6.97,3,0.85,1,8,0.92
1,689,5.19,10,0.47,1,3,0.72
9,1418,61.6,28,0.03,1,9,0.26
5,1247,23.78,7,0.79,0,4,0.72
2,1384,21.64,9,0.72,1,0,0.46
2,431,6.94,1,0.75,1,3,0.76
0,245,0.17,9,0.69,1,7,0.81
6,1222,6.37,9,0.77,0,7,0.92
0,746,17.94,7,0.87,0,8,0.59
5,464,12.56,5,0.55,0,7,0.6
1,209,5.45,6,0.82,0,1,0.48
3,960,12.84,1,0.41,1,3,0.51
4,1382,0.51,9,0.78,1,0,0.88
0,765,16.78,9,0.3,1,1,0.73
4,1121,16.81,7,0.97,1,5,0.97
3,269,7.56,3,0.43,0,4,0.56
5,1216,4.89,7,0.29,1,8,0.86
0,136,10.16,2,0.88,0,7,0.66
0,326,20.04,10,0.66,0,8,0.47
0,1116,13.19,8,0.74,1,7,0.82
4,989,9.89,6,0.25,0,6,0.89
6,3499,94.54,17,0.1,1,8,0.26
6,355,1.62,10,0.76,0,7,0.57
4,1106,6.53,9,0.83,0,3,0.54
5,435,21.63,6,0.58,0,0,0.56
4,950,5.77,8,0.41,0,5,0.92
1,1318,15.36,10,0.7,1,6,0.92
0,157,8.36,10,0.98,0,3,0.78
4,1235,0.29,8,0.38,0,6,0.52
0,893,18.74,7,0.4,0,1,0.5
4,812,18.16,2,0.63,0,8,0.95
3,1285,20.16,4,0.82,1,1,0.98
15,3873,39.29,25,0.2,0,7,0.25
1,993,17.12,9,0.77,0,6,0.9
5,1140,15.95,2,0.59,1,0,0.79
8,2514,47.44,17,0.06,0,6,0.38
4,123,11.0,9,0.67,0,2,0.92
6,723,2.95,7,0.61,0,1,0.81
5,1397,11.81,4,0.5,1,4,0.46
2,791,4.57,10,0.33,1,7,0.45
15,3226,98.72,27,0.12,1,8,0.52
6,587,7.12,5,0.49,0,0,0.89
5,123,5.88,1,0.73,1,8,0.87
7,2963,69.89,12,0.12,0,8,0.12
1,280,6.83,3,0.81,1,4,0.84
5,311,16.07,7,0.83,1,0,0.93
4,1357,24.75,3,0.65,1,7,0.52
6,298,22.67,8,0.72,1,2,0.62
6,3436,80.67,24,0.06,0,11,0.45
4,170,7.56,8,0.94,0,4,0.46
11,3848,78.23,22,0.23,0,9,0.38
1,885,22.12,7,0.97,0,3,0.55
2,568,8.9,6,0.87,1,7,0.86
1,231,10.46,8,0.73,0,4,0.76
3,392,3.91,6,0.99,0,2,0.52
0,807,19.03,8,0.39,0,7,0.9
5,2232,77.23,12,0.13,0,6,0.12
6,561,15.8,7,0.61,0,5,0.68
5,3221,29.57,16,0.21,0,6,0.46
6,1471,1.81,1,0.91,0,6,0.58
5,254,1.76,9,0.63,0,2,0.63
2,592,10.82,4,0.4,1,5,0.64
2,1405,18.64,4,0.67,1,0,0.74
5,1394,5.65,10,0.77,0,3,0.78
3,675,1.61,3,0.49,1,5,0.66
6,144,14.56,7,0.24,1,8,0.63
14,3026,91.9,30,0.11,1,7,0.38
6,538,2.11,4,0.34,0,2,0.78
11,1965,50.22,8,0.13,0,8,0.29
9,1474,90.39,30,0.24,0,8,0.16
3,991,4.24,4,0.31,0,2,0.5
4,1111,11.2,5,0.4,1,3,0.5
0,182,6.56,2,0.39,1,5,0.68
1,986,9.5,1,0.61,0,4,0.94
5,222,22.4,4,0.85,1,8,0.67
1,1183,5.27,4,0.24,0,7,0.53
6,1070,3.05,9,0.27,1,7,0.66
3,471,11.11,8,0.27,0,7,0.66
2,372,24.71,3,0.6,1,8,0.87
13,1962,30.18,18,0.04,0,5,0.47
2,551,9.82,6,0.98,0,6,0.58
0,172,10.29,6,0.98,1,4,0.85
1,941,10.48,10,0.49,1,2,0.76
5,1271,4.08,1,0.59,0,0,0.82
13,1721,43.01,27,0.24,0,6,0.34
4,886,23.61,10,0.21,0,3,0.63
6,2243,56.71,19,0.14,1,6,0.17
6,1471,1.85,4,0.9,1,5,0.83
6,168,2.88,1,0.64,1,2,0.46
3,999,16.87,8,0.47,1,3,0.74
5,358,16.87,9,0.63,1,3,0.73
8,3730,44.79,25,0.13,0,10,0.29
0,316,14.46,9,0.41,0,0,0.84
5,939,17.73,10,0.36,1,5,0.74
0,414,10.87,3,0.25,1,7,0.65
3,1050,19.43,9,0.29,1,1,0.75
6,777,20.11,5,0.24,1,2,0.65
2,684,7.62,6,0.64,1,0,0.96
2,566,21.36,8,0.31,1,0,0.74
4,402,20.7,4,0.71,0,0,0.74
1,1250,0.12,4,0.21,1,3,0.89
5,2781,94.77,20,0.19,0,9,0.31
4,692,1.86,2,0.67,1,7,0.48
5,1026,16.73,6,0.33,1,2,0.84
5,907,8.75,8,0.88,0,1,0.87
3,741,4.7,5,0.27,0,0,0.69
0,923,24.52,1,0.32,0,5,0.54
2,131,6.33,2,0.83,1,8,0.88
2,976,17.04,9,0.79,1,1,0.43
3,626,20.19,10,0.81,0,5,0.92
1,389,21.75,5,0.41,0,6,0.63
4,1464,19.48,1,0.63,0,8,0.79
1,286,16.74,2,0.65,1,1,0.92
3,715,16.16,8,0.82,0,6,0.82
14,1538,73.76,22,0.11,1,8,0.25
4,175,10.55,9,0.91,1,0,0.49
4,1416,0.75,5,0.24,1,6,0.82
11,2314,86.24,10,0.18,0,5,0.17
2,641,1.91,9,0.86,0,6,0.5
1,896,19.31,3,0.81,1,2,0.5
5,1071,11.86,10,0.83,1,1,0.49
5,1347,3.36,2,0.92,0,5,0.94
5,1335,22.6,3,0.49,1,4,0.78
0,169,10.15,1,0.53,1,6,0.81
0,1486,14.92,9,0.73,1,8,0.95
15,2160,32.33,17,0.13,0,9,0.3
6,914,13.36,1,0.79,1,8,0.56
4,1319,20.46,9,0.29,0,6,0.97
2,1280,17.83,5,0.37,0,3,0.62
12,2609,70.35,9,0.01,0,5,0.21
6,126,6.81,4,0.57,0,4,0.57
6,237,17.0,7,0.62,1,3,0.97
2,137,23.33,1,0.49,0,0,0.87
2,224,17.74,5,0.74,0,5,0.57
1,1465,3.9,10,0.27,0,8,0.86
6,1109,3.06,10,0.82,1,1,0.86
3,1291,20.91,9,0.45,1,3,0.7
0,324,9.99,1,0.35,1,6,0.43
6,842,1.56,10,0.37,1,5,0.54
6,1165,2.79,5,0.56,1,2,0.98
12,3432,39.01,29,0.06,0,11,0.39
3,1055,9.35,7,0.99,0,2,0.81
3,687,4.84,2,0.21,0,8,0.99
1,1359,11.1,1,0.92,1,1,0.86
4,1297,18.48,4,0.9,1,4,0.84
5,958,6.38,3,0.46,1,1,0.55
10,1957,42.81,23,0.03,1,10,0.26
6,1601,70.3,25,0.09,1,9,0.26
1,1254,15.7,3,0.4,0,4,0.52
0,442,16.29,5,0.33,0,0,0.82
5,783,13.88,7,0.73,1,0,0.89
4,1017,7.8,9,0.5,1,6,0.43
5,1199,19.19,10,0.85,0,2,0.73
10,1809,26.18,26,0.19,1,6,0.42
3,962,15.59,3,0.37,1,2,0.67
0,1257,17.62,2,0.96,1,0,0.87
3,870,6.11,10,0.59,1,8,0.77
0,1053,14.36,1,0.33,1,8,0.87
13,3147,68.54,29,0.19,0,9,0.33
0,1242,1.48,7,0.42,0,1,0.77
8,3203,27.29,26,0.04,1,7,0.24
13,2507,46.31,24,0.08,0,10,0.12
4,1134,18.71,6,0.54,0,5,0.49
6,653,4.96,10,0.99,1,4,0.57
5,104,23.58,6,0.83,1,4,0.56
1,1059,1.52,7,0.51,0,0,0.47
6,1393,5.53,1,0.45,0,8,0.75
10,2896,83.68,21,0.2,0,8,0.35
10,3278,31.17,9,0.12,0,8,0.49
6,531,22.86,2,0.82,1,5,0.96
15,2770,36.95,9,0.11,0,10,0.44
0,523,17.21,8,0.27,0,2,0.51
1,1145,17.21,10,0.95,1,2,0.68
6,862,24.93,8,0.71,0,1,0.66
2,631,0.49,10,0.56,0,4,0.4
4,389,5.12,8,0.3,0,8,0.46
2,1054,16.7,1,0.76,0,2,0.76
3,1084,17.71,5,0.84,1,8,0.41
3,1080,17.18,2,0.69,1,7,0.98
0,1228,8.77,6,0.63,0,5,0.42
1,1451,1.93,8,0.39,1,6,0.73
6,1295,6.46,9,0.3,1,5,0.52
6,1410,20.25,3,0.8,0,0,0.64
6,1406,20.25,4,0.7,1,7,0.83
1,1253,5.74,5,0.97,0,3,0.52
2,992,22.48,4,0.51,0,6,0.46
5,1103,23.26,10,0.33,1,1,0.98
1,1004,4.68,6,0.35,0,8,0.65
7,2966,75.53,15,0.21,0,9,0.23
7,1804,75.71,24,0.08,1,9,0.44
6,751,23.75,2,0.61,1,0,0.78
2,1237,21.27,3,0.87,0,0,0.69
15,3114,56.4,29,0.12,0,8,0.41
2,930,15.42,10,0.94,0,2,0.44
6,854,6.22,4,0.92,0,7,0.43
5,1445,9.66,10,0.57,0,8,0.74
1,136,13.32,1,0.6,1,0,0.89
6,129,11.77,9,0.46,0,4,0.89
6,896,13.15,9,0.56,1,3,0.6
1,438,23.15,7,0.8,1,5,0.65
6,1153,16.78,9,0.35,1,4,0.73
3,131,12.84,9,0.2,1,3,0.86
1,1142,19.75,1,0.71,1,0,0.83
5,1482,16.71,3,0.72,1,7,0.42
2,143,1.89,4,0.74,1,7,0.44
6,467,1.62,7,0.67,1,7,0.96
5,1352,23.63,1,0.2,0,7,0.52
6,1384,5.78,2,0.41,0,7,0.92
2,1063,3.61,1,0.74,1,8,0.99
5,773,15.89,6,0.47,0,3,0.89
6,1488,10.27,1,0.73,0,1,0.74
5,683,17.29,10,0.71,1,8,0.6
6,996,11.37,3,0.4,0,6,0.81
6,570,9.11,9,0.93,0,0,0.77
5,1195,18.77,9,0.61,0,5,0.58
2,1364,1.48,1,0.32,1,4,0.7
0,1479,18.62,2,0.4,1,2,0.84
2,1170,14.4,6,0.48,0,3,0.54
6,489,2.48,5,0.51,0,1,0.65
5,736,1.34,2,0.25,1,0,0.68
13,2813,59.58,19,0.15,1,10,0.32
0,1012,8.24,5,0.72,1,8,0.59
3,226,12.69,1,0.64,1,2,0.47
6,427,8.68,4,0.95,1,8,0.9
13,2335,34.75,13,0.0,1,9,0.52
2,158,14.88,7,0.45,0,2,0.59
4,621,14.24,3,0.87,0,0,0.64
3,150,0.11,2,0.21,0,5,0.89
4,1443,14.37,6,0.78,0,4,0.42
5,3840,44.53,22,0.17,1,9,0.42
3,342,23.2,3,0.52,0,5,0.55
2,1024,2.98,9,0.42,0,3,0.74
3,970,23.29,7,0.91,0,6,0.5
4,689,8.9,2,0.57,1,2,0.84
3,372,3.73,9,0.72,1,3,0.58
5,913,22.83,2,0.26,1,6,0.6
4,101,17.07,1,0.59,0,6,0.54
7,1371,82.28,28,0.01,0,9,0.47
5,1407,9.12,8,0.66,1,3,0.6
0,1197,5.5,5,0.44,0,6,0.62
1,1462,20.43,7,0.75,1,5,0.76
6,1463,11.2,4,0.29,0,0,1.0
6,489,22.31,3,0.24,1,0,0.54
1,481,11.42,7,0.76,0,3,0.83
12,1606,53.99,24,0.03,1,8,0.14
0,696,4.96,8,0.63,0,4,0.81
5,1122,10.53,1,0.4,1,2,0.88
0,602,4.06,10,0.94,1,4,0.82
1,1279,11.55,4,0.41,1,5,0.65
6,420,11.3,2,0.58,1,1,0.74
